feature,mean_absolute_shap,mean_signed_shap,positive_contribution_rate,relative_importance,cumulative_importance
sensor_027,0.0008003834274526419,-0.0001675171104935407,0.321656050955414,0.0018161208157533996,0.6993289026611716
sensor_455,0.000789670138031158,-0.00030203376189957723,0.43630573248407645,0.0017918116818355827,0.7011207143430073
sensor_116,0.0007757015658462473,-0.00023327590819805774,0.445859872611465,0.0017601161046394002,0.7028808304476467
sensor_562,0.0007753430239695265,-0.00021228977908904762,0.4840764331210191,0.0017593025503561683,0.7046401329980029
sensor_252,0.0007748003148016191,-0.00021699264686887582,0.2229299363057325,0.0017580711087958729,0.7063982041067988
sensor_217,0.0007722124619774591,-0.0001670533356340412,0.2515923566878981,0.0017521991064269318,0.7081504032132256
sensor_063,0.0007677399963099132,-0.00027645660390994886,0.17834394904458598,0.0017420507978563459,0.709892454011082
sensor_144,0.0007642785704334167,-0.00034676426168651203,0.5636942675159236,0.0017341966027657502,0.7116266506138478
sensor_274,0.0007586378793560443,-0.00024244557931121728,0.5668789808917197,0.0017213975165659592,0.7133480481304137
sensor_129,0.0007464273665334101,-0.0001615365096717514,0.21337579617834396,0.0016936910876875053,0.7150417392181012
sensor_084,0.0007436746839783631,-0.00011787833298012802,0.4681528662420382,0.0016874450761936231,0.7167291842942949
sensor_472,0.0007421908882841354,-0.0002925955718284075,0.17834394904458598,0.0016840782495525608,0.7184132625438474
sensor_165,0.0007400712026671433,-0.00014359257519317331,0.20382165605095542,0.0016792685483020932,0.7200925310921495
sensor_067,0.0007392920421138676,-0.00024642476304587683,0.36942675159235666,0.0016775005835353545,0.7217700316756849
sensor_346,0.0007309021838820007,-0.00021120487563728752,0.22611464968152867,0.0016584634625087388,0.7234284951381936
sensor_575,0.000729962432432408,-0.00031538849457915296,0.2929936305732484,0.0016563311068018352,0.7250848262449955
sensor_010,0.0007297726547402781,-0.0002781253538365464,0.4840764331210191,0.0016559004891688093,0.7267407267341643
sensor_286,0.0007296365235204542,-0.0002967234753413059,0.39171974522292996,0.0016555915987876292,0.7283963183329519
sensor_093,0.0007268624170799966,-0.00017187551325876689,0.4426751592356688,0.0016492969751374803,0.7300456153080894
sensor_090,0.0007258975215087102,-0.000251543091148013,0.34076433121019106,0.0016471075658219742,0.7316927228739114
sensor_021,0.0007218297339541069,-0.00010510517767480638,0.37898089171974525,0.0016378774975839424,0.7333306003714953
sensor_528,0.000713336486102943,-0.00020906044188833284,0.5286624203821656,0.0016186057789466094,0.7349492061504419
sensor_106,0.0007079351724063598,-0.0002287560899160938,0.42356687898089174,0.0016063498552226526,0.7365555560056646
sensor_025,0.0007073256256817512,-9.363179664855706e-05,0.6592356687898089,0.0016049667550024752,0.738160522760667
sensor_490,0.0007052888382182883,-0.00016087811374633796,0.3248407643312102,0.0016003451549258302,0.7397608679155928
sensor_487,0.0007035169840635331,-5.066284959946762e-05,0.5159235668789809,0.0015963247053480927,0.7413571926209409
sensor_298,0.0007010413357013687,-0.00018559079403632691,0.3630573248407643,0.001590707302027634,0.7429478999229685
sensor_058,0.0006996579402392764,-0.0001963681757536308,0.45222929936305734,0.001587568289888014,0.7445354682128565
sensor_312,0.0006960809606196311,-0.00025307576834168646,0.410828025477707,0.0015794518960173427,0.7461149201088739
sensor_430,0.0006924399618161679,-0.00030982798047351795,0.3630573248407643,0.001571190238553809,0.7476861103474277
sensor_350,0.0006913646812069288,-0.00013471188619462298,0.3885350318471338,0.0015687503585784949,0.7492548607060062
sensor_175,0.0006878285109761725,-0.00016346003540239584,0.554140127388535,0.0015607265638023292,0.7508155872698086
sensor_054,0.0006863841032234958,-0.00017663762156638313,0.6178343949044586,0.0015574491109015104,0.7523730363807101
sensor_492,0.0006841239628902216,-0.00025715585273331247,0.3980891719745223,0.001552320708981887,0.753925357089692
sensor_554,0.0006826380917904525,-0.00018878358850973496,0.29936305732484075,0.0015489491731138772,0.7554743062628059
sensor_177,0.0006820423418052644,-0.0003609716738042733,0.3885350318471338,0.0015475973785714437,0.7570219036413773
sensor_229,0.0006805506433225567,-0.00019334258026203362,0.3184713375796178,0.0015442126200015474,0.7585661162613789
sensor_590,0.0006800407604745485,-0.00014826715963679534,0.3630573248407643,0.0015430556634453496,0.7601091719248243
sensor_484,0.0006799578055570831,-0.00014417106488853865,0.678343949044586,0.0015428674334705518,0.7616520393582948
sensor_073,0.0006769312424767166,-0.0002552873499922897,0.22611464968152867,0.001535999969675183,0.76318803932797
sensor_304,0.0006747392038339397,-0.00014713220796808263,0.31528662420382164,0.0015310260948152882,0.7647190654227852
sensor_525,0.0006733980541102761,-0.0001769534926645682,0.5955414012738853,0.0015279829409384777,0.7662470483637237
sensor_038,0.000668421056216618,-0.0001367703361331678,0.445859872611465,0.0015166898167125042,0.7677637381804362
sensor_319,0.0006681655167784955,-0.00027176524257430346,0.321656050955414,0.0015161099815024007,0.7692798481619386
sensor_322,0.0006668451791222821,-0.0001052188167254042,0.6337579617834395,0.0015131140515280584,0.7707929622134667
sensor_527,0.0006668448864706674,-0.00024228673604490062,0.49363057324840764,0.0015131133874829632,0.7723060756009497
sensor_573,0.0006651160478747725,-0.00014008984084392086,0.45222929936305734,0.001509190542939473,0.7738152661438892
sensor_410,0.0006644630963077807,-0.00020119654072228764,0.37261146496815284,0.001507708954376018,0.7753229750982652
sensor_048,0.0006571652991039726,-0.00019138218480836512,0.5286624203821656,0.0014911497891604603,0.7768141248874256
sensor_114,0.0006542779215458639,-0.00013368060215193184,0.5445859872611465,0.0014845981461524213,0.778298723033578
sensor_491,0.0006517862187731047,-0.00013959742436177585,0.3343949044585987,0.0014789443143549779,0.7797776673479331
sensor_477,0.0006507916042464694,-0.00020728649423827768,0.31210191082802546,0.0014766874708428352,0.7812543548187759
sensor_497,0.0006496283258957566,-7.181238147938788e-05,0.43630573248407645,0.0014740479184048635,0.7827284027371808
sensor_113,0.0006465290743788852,-0.00013572188394874883,0.23248407643312102,0.001467015519931847,0.7841954182571127
sensor_280,0.0006379142858582015,-6.84891934784919e-05,0.42356687898089174,0.001447468017798374,0.7856428862749111
sensor_486,0.0006376864150740461,-0.00020469303642916417,0.5414012738853503,0.001446950964520892,0.7870898372394319
sensor_541,0.0006355603390373003,-0.00021661170956471877,0.3375796178343949,0.0014421267630022553,0.7885319640024342
sensor_302,0.0006337525100600159,-0.00024450736614717165,0.33121019108280253,0.0014380246842680446,0.7899699886867022
sensor_446,0.000632618547810996,-0.00025705437191578316,0.5318471337579618,0.0014354516519261857,0.7914054403386284
sensor_072,0.0006306976092241345,-0.00016420088041739514,0.321656050955414,0.0014310929203061589,0.7928365332589346
sensor_002,0.0006302697806430173,-0.00014938857825801143,0.4554140127388535,0.0014301221500914204,0.794266655409026
sensor_353,0.0006267945168221404,-0.0002988173239093916,0.43630573248407645,0.001422236555826411,0.7956888919648524
sensor_016,0.0006230605556084029,-0.00024344560833838798,0.4968152866242038,0.001413763960751489,0.7971026559256038
sensor_156,0.000622154666910554,-5.8907705133800786e-05,0.31528662420382164,0.0014117084417783448,0.7985143643673821
sensor_394,0.0006219793044974346,-0.00022557581242345568,0.46496815286624205,0.0014113105333286651,0.7999256749007108
sensor_046,0.0006216414908019474,-0.00029009533159148597,0.20382165605095542,0.0014105440126047498,0.8013362189133155
sensor_138,0.0006216390765524251,-0.00012325919063644518,0.6624203821656051,0.0014105385345192954,0.8027467574478349
sensor_436,0.0006192184208984662,-0.00013610607588896036,0.3503184713375796,0.0014050459131454151,0.8041518033609802
sensor_411,0.0006074352423914809,-0.00031950726257311236,0.4299363057324841,0.0013783091329619696,0.8055301124939422
sensor_033,0.0006069761608049263,-0.00024116609904293535,0.321656050955414,0.0013772674476935421,0.8069073799416357
sensor_163,0.0006060097118412404,-0.00015200420759720694,0.37261146496815284,0.0013750745136320516,0.8082824544552678
sensor_055,0.0006059148728950391,-0.00012611253874081392,0.47770700636942676,0.0013748593180414976,0.8096573137733093
sensor_186,0.0006029611954972849,1.8368094839051584e-05,0.36942675159235666,0.0013681572364877175,0.811025471009797
