threshold,recall_fail,precision_fail,f1_fail,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,operational_cost
0.835,0.060240963855421686,0.1724137931034483,0.08928571428571429,0.5198640716713006,1146,24,78,5,804.0
0.84,0.060240963855421686,0.21739130434782608,0.09433962264150944,0.5224281742354032,1152,18,78,5,798.0
0.845,0.060240963855421686,0.23809523809523808,0.09615384615384616,0.5232828750901041,1154,16,78,5,796.0
0.85,0.060240963855421686,0.23809523809523808,0.09615384615384616,0.5232828750901041,1154,16,78,5,796.0
0.855,0.060240963855421686,0.25,0.0970873786407767,0.5237102255174545,1155,15,78,5,795.0
0.86,0.060240963855421686,0.2777777777777778,0.09900990099009901,0.5245649263721553,1157,13,78,5,793.0
0.865,0.060240963855421686,0.3125,0.10101010101010101,0.5254196272268562,1159,11,78,5,791.0
0.87,0.04819277108433735,0.26666666666666666,0.08163265306122448,0.519395530841314,1159,11,79,4,801.0
0.875,0.04819277108433735,0.26666666666666666,0.08163265306122448,0.519395530841314,1159,11,79,4,801.0
0.88,0.03614457831325301,0.25,0.06315789473684211,0.5142261353104727,1161,9,80,3,809.0
0.885,0.03614457831325301,0.3,0.06451612903225806,0.5150808361651735,1163,7,80,3,807.0
0.89,0.03614457831325301,0.375,0.06593406593406594,0.5159355370198744,1165,5,80,3,805.0
0.895,0.03614457831325301,0.42857142857142855,0.06666666666666667,0.5163628874472248,1166,4,80,3,804.0
0.9,0.03614457831325301,0.42857142857142855,0.06666666666666667,0.5163628874472248,1166,4,80,3,804.0
0.905,0.024096385542168676,0.3333333333333333,0.0449438202247191,0.5103387910616827,1166,4,81,2,814.0
0.91,0.024096385542168676,0.3333333333333333,0.0449438202247191,0.5103387910616827,1166,4,81,2,814.0
0.915,0.012048192771084338,0.25,0.022988505747126436,0.5047420451034909,1167,3,82,1,823.0
0.92,0.0,0.0,0.0,0.4987179487179487,1167,3,83,0,833.0
0.925,0.0,0.0,0.0,0.49914529914529915,1168,2,83,0,832.0
0.93,0.0,0.0,0.0,0.4995726495726496,1169,1,83,0,831.0
0.935,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
0.9400000000000001,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
0.9450000000000001,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
0.9500000000000001,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
0.9550000000000001,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
0.96,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
0.965,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
0.97,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
0.975,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
0.98,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
0.985,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
0.99,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
0.995,0.0,0.0,0.0,0.5,1170,0,83,0,830.0
