lower_threshold,upper_threshold,total_records,total_failures,total_passes,low_risk_records,review_records,high_risk_records,low_risk_rate,review_rate,high_risk_rate,automation_coverage,low_risk_failures,low_risk_passes,review_failures,review_passes,high_risk_failures,high_risk_passes,low_risk_npv,high_risk_precision,low_risk_failure_leakage,high_risk_failure_capture,review_failure_capture,review_plus_high_failure_capture,high_risk_false_alarm_rate,operational_cost
0.005,0.18999999999999995,1253,83,1170,0,1215,38,0.0,0.9696727853152434,0.030327214684756583,0.030327214684756583,0,0,74,1141,9,29,,0.23684210526315788,0.0,0.10843373493975904,0.891566265060241,1.0,0.024786324786324785,1265.0
0.005,0.19499999999999992,1253,83,1170,0,1217,36,0.0,0.9712689545091779,0.028731045490822026,0.028731045490822026,0,0,75,1142,8,28,,0.2222222222222222,0.0,0.0963855421686747,0.9036144578313253,1.0,0.023931623931623933,1263.5
0.005,0.19999999999999993,1253,83,1170,0,1219,34,0.0,0.9728651237031125,0.02713487629688747,0.02713487629688747,0,0,75,1144,8,26,,0.23529411764705882,0.0,0.0963855421686747,0.9036144578313253,1.0,0.022222222222222223,1259.5
0.005,0.20499999999999993,1253,83,1170,0,1223,30,0.0,0.9760574620909817,0.023942537909018357,0.023942537909018357,0,0,75,1148,8,22,,0.26666666666666666,0.0,0.0963855421686747,0.9036144578313253,1.0,0.018803418803418803,1251.5
0.005,0.2099999999999999,1253,83,1170,0,1231,22,0.0,0.9824421388667198,0.017557861133280128,0.017557861133280128,0,0,76,1155,7,15,,0.3181818181818182,0.0,0.08433734939759036,0.9156626506024096,1.0,0.01282051282051282,1238.0
0.005,0.2149999999999999,1253,83,1170,0,1231,22,0.0,0.9824421388667198,0.017557861133280128,0.017557861133280128,0,0,76,1155,7,15,,0.3181818181818182,0.0,0.08433734939759036,0.9156626506024096,1.0,0.01282051282051282,1238.0
0.005,0.21999999999999992,1253,83,1170,0,1232,21,0.0,0.9832402234636871,0.01675977653631285,0.01675977653631285,0,0,76,1156,7,14,,0.3333333333333333,0.0,0.08433734939759036,0.9156626506024096,1.0,0.011965811965811967,1236.0
0.005,0.22499999999999992,1253,83,1170,0,1233,20,0.0,0.9840383080606544,0.01596169193934557,0.01596169193934557,0,0,76,1157,7,13,,0.35,0.0,0.08433734939759036,0.9156626506024096,1.0,0.011111111111111112,1234.0
0.005,0.22999999999999993,1253,83,1170,0,1234,19,0.0,0.9848363926576217,0.015163607342378291,0.015163607342378291,0,0,77,1157,6,13,,0.3157894736842105,0.0,0.07228915662650602,0.927710843373494,1.0,0.011111111111111112,1234.5
0.005,0.2349999999999999,1253,83,1170,0,1237,16,0.0,0.9872306464485235,0.012769353551476457,0.012769353551476457,0,0,78,1159,5,11,,0.3125,0.0,0.060240963855421686,0.9397590361445783,1.0,0.009401709401709401,1231.0
