lower_threshold,upper_threshold,total_records,total_failures,low_risk_records,review_records,high_risk_records,low_risk_rate,review_rate,high_risk_rate,automation_coverage,low_risk_failures,low_risk_passes,review_failures,review_passes,high_risk_failures,high_risk_passes,low_risk_npv,high_risk_precision,high_risk_failure_capture,review_failure_capture,review_plus_high_failure_capture,low_risk_failure_leakage,operational_cost
0.01,0.6799999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.6899999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.6999999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.7099999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.7199999999999998,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.7299999999999996,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.7399999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.7499999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.7599999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.7699999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.7799999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.7899999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.7999999999999996,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.8099999999999996,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.8199999999999996,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.8299999999999996,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.8399999999999996,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.8499999999999996,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.8599999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.8699999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.8799999999999997,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.8899999999999996,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
0.01,0.8999999999999996,1253,83,180,1072,1,0.14365522745411013,0.8555466879489226,0.0007980845969672786,0.14445331205107742,0,180,82,990,1,0,1.0,1.0,0.012048192771084338,0.9879518072289156,1.0,0.0,1031.0
